datetime_utc,date,hour,minute,price_eur_mwh
2024-05-25 08:00:00,2024-05-25,8,0,79.21
2024-05-25 08:15:00,2024-05-25,8,15,254.31
2024-05-25 08:30:00,2024-05-25,8,30,258.51
2024-05-25 08:45:00,2024-05-25,8,45,-605.73
2024-05-25 09:00:00,2024-05-25,9,0,-615.93
2024-05-25 09:15:00,2024-05-25,9,15,75.00
2024-05-25 09:30:00,2024-05-25,9,30,75.00
2024-05-25 09:45:00,2024-05-25,9,45,37.50
2024-05-25 10:00:00,2024-05-25,10,0,266.32
2024-05-25 10:15:00,2024-05-25,10,15,271.32
2024-05-25 10:30:00,2024-05-25,10,30,261.58
2024-05-25 10:45:00,2024-05-25,10,45,185.88
2024-05-25 11:00:00,2024-05-25,11,0,297.57
2024-05-25 11:15:00,2024-05-25,11,15,264.66
2024-05-25 11:30:00,2024-05-25,11,30,40.00
2024-05-25 11:45:00,2024-05-25,11,45,-268.75
2024-05-25 12:00:00,2024-05-25,12,0,141.00
2024-05-25 12:15:00,2024-05-25,12,15,131.95
2024-05-25 12:30:00,2024-05-25,12,30,206.94
2024-05-25 12:45:00,2024-05-25,12,45,255.50
2024-05-25 13:00:00,2024-05-25,13,0,199.48
2024-05-25 13:15:00,2024-05-25,13,15,199.56
2024-05-25 13:30:00,2024-05-25,13,30,239.00
2024-05-25 13:45:00,2024-05-25,13,45,124.65
2024-05-25 14:00:00,2024-05-25,14,0,152.58
2024-05-25 14:15:00,2024-05-25,14,15,191.22
2024-05-25 14:30:00,2024-05-25,14,30,304.31
2024-05-25 14:45:00,2024-05-25,14,45,336.49
2024-05-25 15:00:00,2024-05-25,15,0,-644.39
2024-05-25 15:15:00,2024-05-25,15,15,151.49
2024-05-25 15:30:00,2024-05-25,15,30,213.25
2024-05-25 15:45:00,2024-05-25,15,45,226.20
2024-05-25 16:00:00,2024-05-25,16,0,-565.97
2024-05-25 16:15:00,2024-05-25,16,15,241.87
2024-05-25 16:30:00,2024-05-25,16,30,251.57
2024-05-25 16:45:00,2024-05-25,16,45,218.65
2024-05-25 17:00:00,2024-05-25,17,0,40.00
2024-05-25 17:15:00,2024-05-25,17,15,-498.87
2024-05-25 17:30:00,2024-05-25,17,30,-494.82
2024-05-25 17:45:00,2024-05-25,17,45,144.82
2024-05-25 18:00:00,2024-05-25,18,0,-475.46
2024-05-25 18:15:00,2024-05-25,18,15,-530.75
2024-05-25 18:30:00,2024-05-25,18,30,-375.07
2024-05-25 18:45:00,2024-05-25,18,45,37.50
2024-05-25 19:00:00,2024-05-25,19,0,168.19
2024-05-25 19:15:00,2024-05-25,19,15,183.57
2024-05-25 19:30:00,2024-05-25,19,30,240.53
2024-05-25 19:45:00,2024-05-25,19,45,163.80
2024-05-25 20:00:00,2024-05-25,20,0,321.96
2024-05-25 20:15:00,2024-05-25,20,15,219.74
2024-05-25 20:30:00,2024-05-25,20,30,78.50
2024-05-25 20:45:00,2024-05-25,20,45,-560.64
2024-05-25 21:00:00,2024-05-25,21,0,-438.25
2024-05-25 21:15:00,2024-05-25,21,15,164.00
2024-05-25 21:30:00,2024-05-25,21,30,78.50
2024-05-25 21:45:00,2024-05-25,21,45,-481.51
2024-05-25 22:00:00,2024-05-25,22,0,335.99
2024-05-25 22:15:00,2024-05-25,22,15,291.82
2024-05-25 22:30:00,2024-05-25,22,30,73.00
2024-05-25 22:45:00,2024-05-25,22,45,-240.25
2024-05-25 23:00:00,2024-05-25,23,0,-63.05
2024-05-25 23:15:00,2024-05-25,23,15,73.00
2024-05-25 23:30:00,2024-05-25,23,30,73.00
2024-05-25 23:45:00,2024-05-25,23,45,-313.42
2024-05-26 00:00:00,2024-05-26,0,0,-65.86
2024-05-26 00:15:00,2024-05-26,0,15,-386.65
2024-05-26 00:30:00,2024-05-26,0,30,226.04
2024-05-26 00:45:00,2024-05-26,0,45,-537.08
2024-05-26 01:00:00,2024-05-26,1,0,-540.81
2024-05-26 01:15:00,2024-05-26,1,15,-447.61
2024-05-26 01:30:00,2024-05-26,1,30,-338.53
2024-05-26 01:45:00,2024-05-26,1,45,-530.18
2024-05-26 02:00:00,2024-05-26,2,0,239.46
2024-05-26 02:15:00,2024-05-26,2,15,-538.90
2024-05-26 02:30:00,2024-05-26,2,30,-533.73
2024-05-26 02:45:00,2024-05-26,2,45,-564.24
2024-05-26 03:00:00,2024-05-26,3,0,45.00
2024-05-26 03:15:00,2024-05-26,3,15,-331.87
2024-05-26 03:30:00,2024-05-26,3,30,-476.59
2024-05-26 03:45:00,2024-05-26,3,45,-509.39
2024-05-26 04:00:00,2024-05-26,4,0,-497.41
2024-05-26 04:15:00,2024-05-26,4,15,-433.83
2024-05-26 04:30:00,2024-05-26,4,30,-518.65
2024-05-26 04:45:00,2024-05-26,4,45,110.90
2024-05-26 05:00:00,2024-05-26,5,0,237.23
2024-05-26 05:15:00,2024-05-26,5,15,277.68
2024-05-26 05:30:00,2024-05-26,5,30,295.32
2024-05-26 05:45:00,2024-05-26,5,45,216.74
2024-05-26 06:00:00,2024-05-26,6,0,304.43
2024-05-26 06:15:00,2024-05-26,6,15,271.44
2024-05-26 06:30:00,2024-05-26,6,30,278.28
2024-05-26 06:45:00,2024-05-26,6,45,200.50
2024-05-26 07:00:00,2024-05-26,7,0,193.67
2024-05-26 07:15:00,2024-05-26,7,15,214.40
2024-05-26 07:30:00,2024-05-26,7,30,176.92
2024-05-26 07:45:00,2024-05-26,7,45,254.45
2024-05-26 08:00:00,2024-05-26,8,0,277.17
2024-05-26 08:15:00,2024-05-26,8,15,212.20
2024-05-26 08:30:00,2024-05-26,8,30,284.78
2024-05-26 08:45:00,2024-05-26,8,45,274.76
2024-05-26 09:00:00,2024-05-26,9,0,235.71
2024-05-26 09:15:00,2024-05-26,9,15,196.62
2024-05-26 09:30:00,2024-05-26,9,30,250.21
